"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ghar S.; Patil S.; Arunachalam V.","Ghar, Shantanu (57478995200); Patil, Sayali (58281097800); Arunachalam, Venkhatesh (57479274000)","57478995200; 58281097800; 57479274000","Data Driven football scouting assistance with simulated player performance extrapolation","2021","Proceedings - 20th IEEE International Conference on Machine Learning and Applications, ICMLA 2021","","","","1160","1167","12","10.1109/ICMLA52953.2021.00189","https://www.scopus.com/pages/publications/85125874789?origin=resultslist","In club football, scouting is a crucial aspect of player recruitment, with elite football clubs investing millions of dollars in scouting and signing the best player for their team every year. Scouting requires great analytical and observational skills from the scout, to find the best player for any position in the team. A scout needs to analyze the player by watching his in-game actions, physical attributes and make a judgement on how the player might fit into the team. Every team has a formation, a style of play and a specific profile of player is required for a given position depending on the aforementioned factors. But scouts only watch a player play a few matches in person, and prepare their scouting report based on a player's performance in those matches. This process is flawed as the scout is expected to watch a few games and make estimates of the player's performance in a new team. The player statistics can help the scout in making better data-driven decisions. A player's career statistics can provide a picture of how the player performs individually, but they fail to predict player chemistry alongside a team. Misjudgement in scouting can lead to losses of millions of dollars to a club. We propose to solve this problem by utilising vast amounts of quantitative and qualitative player statistics (from 3+ sources), and by incorporating data science and machine learning algorithms to simulate real world performances of the team after the addition of the newly scouted player. We take into account specific player requirements and classify a player into one of our specific 15 player types, and use the team's formation and style of play to predict the players that will have the best chemistry with any given lineup, thereby facilitating scouts in making better decisions. © 2021 IEEE.","AI; Analytics; Data science; Feature engineering; Football; ML; Predict; Simulate; Soccer; Statistics; Team chemistry","Forecasting; Learning algorithms; Machine learning; Sports; Statistics; Watches; Analytic; Data driven; Feature engineerings; Football club; ML; Performance; Performance extrapolation; Simulate; Specific profile; Team chemistry; Data Science","Conference paper","Final","","Scopus","2-s2.0-85125874789"
"Tang Q.; Wei X.; Tan B.","Tang, Qingrong (60374627400); Wei, Xiufang (60375111500); Tan, Bo (60177088100)","60374627400; 60375111500; 60177088100","The Role of Machine Learning in Talent Identification for Team Sports: A Systematic Review","2026","Journal of Sports Science and Medicine","25","1","","58","83","0","10.52082/jssm.2026.58","https://www.scopus.com/pages/publications/105029564827?origin=resultslist","Talent identification (TID) in team sports is complex, influenced by biological, technical, psychological, and socio-cultural factors. Machine learning (ML) offers tools to integrate high-dimensional data, yet its applications in youth TID remain underexplored. Objectives: To systematically review ML approaches applied to youth talent identification in team sports, with emphasis on data domains, algorithms, validation strategies, and interpretability. Eligible studies included peer-reviewed quantitative research applying ML to youth athletes (≤21 years) in team sports for TID outcomes. Searches were conducted in PubMed, Scopus, and Web of Science, supplemented by reference and citation screening. Extracted data items included input data domains (anthropometric, physical, technical, perceptual–cognitive, psychological, socio-cultural, and multi-domain), ML approach, validation methods, performance metrics (e.g., accuracy, AUC, F1-score), and interpretability techniques. Risk-of-bias assessment was implemented using PROBAST. From 228 records, 27 studies met inclusion criteria. Soccer was most studied (n = 13), with others covering rugby, basketball, cricket, volleyball, and Australian football. Sample sizes ranged from 21 to 13,876 athletes, predominantly male. Supervised algorithms (Random Forest, gradient boosting, neural networks, penalized regression) were most common; some studies used unsupervised clustering. Validation practices varied, with few employing nested cross-validation or external testing. Reported discrimination metrics ranged from modest to excellent (ROC-AUC ≈ 0.58-0.96, depending on model and context), yet calibration performance (e.g., Brier score, calibration slope) was rarely reported, and external validation was uncommon. Across studies, predictive accuracy was moderate to high internally but rarely externally confirmed. Risk of bias was high in 59 % of studies, mainly due to inadequate analysis and limited generalizability. Overall, ML shows potential to complement, not replace, traditional TID approaches-acting as a decision-support and hypothesis-generation tool that can assist practitioners in early screening, individualized progression modeling, and evidence-based talent forecasting. To strengthen translational impact, future research should emphasize transparent reporting, calibration assessment, and external validation to ensure robust, applicable ML models for sport talent systems. © Journal of Sports Science and Medicine (2026).","artificial intelligence; predictive modeling; sports analytics; talent development; Youth athletes","Adolescent; Algorithms; Aptitude; Athletic Performance; Humans; Machine Learning; Team Sports; Youth Sports; adolescent; algorithm; aptitude; athletic performance; human; machine learning; team sport; youth sport","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029564827"
"Marcelino R.; Sampaio J.; Amichay G.; Gonçalves B.; Couzin I.D.; Nagy M.","Marcelino, Rui (24468585100); Sampaio, Jaime (8273606200); Amichay, Guy (57192378477); Gonçalves, Bruno (55950048800); Couzin, Iain D. (55889306800); Nagy, Máté (16069242900)","24468585100; 8273606200; 57192378477; 55950048800; 55889306800; 16069242900","Collective movement analysis reveals coordination tactics of team players in football matches","2020","Chaos, Solitons and Fractals","138","","109831","","","71","10.1016/j.chaos.2020.109831","https://www.scopus.com/pages/publications/85086392487?origin=resultslist","Collective behavior is a hallmark of every living system and utilizing methods from statistical physics (such as correlation functions) could aid in our understanding of their underlying rules. We analyzed five football (soccer) matches as this game provides a unique but yet mostly unexplored example to study a system of collective cooperation and competition. The aim of our study was to analyze the collective motion patterns exhibited by football players to unfold the underlying coordination among them in order to understand collective strategies associated with team performance. By analyzing pairwise relationships among all the players using spatio-temporal correlation functions we reveal that there exist identifiable collective dynamics that characterize winning and losing teams. Using our metric we find clear and robust differences between the players, indicating a difference in their behavior and their interactions. And this enables us to assign a unique behavioral pattern - a ‘fingerprint’ - for each individual and for each team. Furthermore, we reveal there exists a relationship between the market value of the players and the metrics introduced here, suggesting that these metrics could potentially serve as valuable performance indicators in the future, with applications ranging from talent identification to player scouting. In a broader context team sports could open up new directions for quantitative analyses of human collective behavior. © 2020 Elsevier Ltd","Collective behaviour; Cooperation and competition; Directional correlation analysis; Team sports","Behavioral research; Football; Statistical Physics; Behavioral patterns; Collective behavior; Collective dynamics; Collective motions; Cooperation and competitions; Correlation function; Performance indicators; Spatiotemporal correlation; Human resource management","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086392487"
"Rinaldi A.M.; Romano A.; Russo C.; Tommasino C.","Rinaldi, Antonio Maria (7102057739); Romano, Antonio (16518190800); Russo, Cristiano (57202457717); Tommasino, Cristian (57219668948)","7102057739; 16518190800; 57202457717; 57219668948","FPSRec: Football Players Scouting Recommendation System based on Generative AI","2024","Proceedings - 2024 IEEE International Conference on Big Data, BigData 2024","","","","7141","7150","4","10.1109/BigData62323.2024.10825692","https://www.scopus.com/pages/publications/85218066532?origin=resultslist","Player scouting in soccer is witnessing a surge of interest from the research community. Traditional scouting methods are often limited by subjectivity and biases in evaluation. Moreover, the lack of structured data and models hinders the progress of the field. To overcome these limitations, we introduce a novel player recommendation system which integrates similarity techniques and generative artificial intelligence. It aims to support player recruitment by providing a data-driven and inclusive approach. The novelty of our work lies in its use of advanced machine learning and artificial intelligence to accurately predict player potential and performance by similarity measures, thereby mitigating the influence of subjective biases that often affect talent identification. Our contributions represent a significant advancement in the field of sports analytics and talent identification, offering a more equitable and efficient approach to scouting and recruitment. The results obtained underscore the effectiveness of the proposed system, demonstrating the transformative potential of artificial intelligence in revolutionizing talent scouting. © 2024 IEEE.","Data-driven Scouting; Football Analytics; Generative AI; Player Scouting; Recommendation Systems; Sports Analytics","Adversarial machine learning; Artificial intelligence; Football; Recommender systems; Data driven; Data-driven scouting; Football analytic; Football players; Generative AI; Player scouting; Research communities; Scouting methods; Sport analytic; Structured data","Conference paper","Final","","Scopus","2-s2.0-85218066532"
"Barron D.; Ball G.; Robins M.; Sunderland C.","Barron, Donald (57204499453); Ball, Graham (16443903700); Robins, Matthew (14039320200); Sunderland, Caroline (13606498500)","57204499453; 16443903700; 14039320200; 13606498500","Artificial neural networks and player recruitment in professional soccer","2018","PLoS ONE","13","10","e0205818","","","43","10.1371/journal.pone.0205818","https://www.scopus.com/pages/publications/85055774652?origin=resultslist","The aim was to objectively identify key performance indicators in professional soccer that influence outfield players' league status using an artificial neural network. Mean technical performance data were collected from 966 outfield players' (mean SD; age: 25 ± 4 yr, 1.81 ±) 90-minute performances in the English Football League. ProZone's MatchViewer system and online databases were used to collect data on 347 indicators assessing the total number, accuracy and consistency of passes, tackles, possessions regained, clearances and shots. Players were assigned to one of three categories based on where they went on to complete most of their match time in the following season: Group 0 (n = 209 players) went on to play in a lower soccer league, group 1 (n = 637 players) remained in the Football League Championship, and group 2 (n = 120 players) consisted of players who moved up to the English Premier League. The models created correctly predicted between 61.5% and 78.8% of the players' league status. The model with the highest average test performance was for group 0 v 2 (U21 international caps, international caps, median tackles, percentage of first time passes unsuccessful upper quartile, maximum dribbles and possessions gained minimum) which correctly predicted 78.8% of the players' league status with a test error of 8.3%. To date, there has not been a published example of an objective method of predicting career trajectory in soccer. This is a significant development as it highlights the potential for machine learning to be used in the scouting and recruitment process in a professional soccer environment. © 2018 Barron et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Adult; Athletic Performance; Competitive Behavior; Humans; Male; Neural Networks (Computer); Physical Endurance; Running; Soccer; United Kingdom; adult; article; artificial neural network; career; clearance; football; human; human experiment; major clinical study; season; soccer; task performance; athletic performance; classification; competitive behavior; endurance; male; physiology; psychology; running; soccer; United Kingdom","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85055774652"
"Dubois L.-E.; Walzak L.","Dubois, Louis-Etienne (57225370063); Walzak, Laurel (59654447000)","57225370063; 59654447000","Blind scouting: using artificial intelligence to alleviate bias in selection","2025","Personnel Review","54","4","","953","970","4","10.1108/PR-02-2024-0130","https://www.scopus.com/pages/publications/105003408821?origin=resultslist","Purpose: Talent scouting is recognized as a vital activity for professional sports organizations to establish a competitive advantage on the field. It remains, however, an imperfect science marred with bias and stereotypes. Technology – such as data analytics and artificial intelligence (AI) – is a promising avenue to deal with these issues. Yet, much like in the broader HRM literature, little is known about its ability to effectively alleviate bias and on how to successfully make it co-exist with human recruiters. Design/methodology/approach: In collaboration with a professional North American soccer (football) team, this experimental study investigates the impact of using AI-anonymized game footage on scouts’ assessments. In addition to quantitative ratings, it uses a “think-aloud” or verbal cognition methodology to capture changes in the scouts’ assessments. Findings: The results demonstrate how a “blind scouting” approach stands to alleviate bias and leads to more robust scouting assessments. Namely, the findings indicate that using de-identified footage through AI increases the scouts’ focus on tactical abilities and decreases observations on potentially problematic physiological considerations. Originality/value: This study provides valuable insights on scouts’ cognition and moves past the prevailing AI vs Human dichotomy by demonstrating how the technology can improve processes without removing the need for experts. It also speaks to AI’s benefits beyond cost or time savings and suggests other potential HRM-related applications for AI. © 2025, Emerald Publishing Limited.","Artificial intelligence; Bias; Recruitment; Scouting; Selection; Talent identification","","Article","Final","","Scopus","2-s2.0-105003408821"
"Gopika P.; Harsh Kumar S.; Nithin G.","Gopika, P. (58904921500); Harsh Kumar, S. (60594991300); Nithin, Ganapuram (60595218900)","58904921500; 60594991300; 60595218900","Talent Scouting Model for Predicting Player Performance Using Machine Learning","2026","Proceedings of the 5th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2026","","","","346","352","0","10.1109/ICSADL67539.2026.11452110","https://www.scopus.com/pages/publications/105036577429?origin=resultslist","Talent identification plays a critical role in shaping the long-term success of professional sports teams, yet traditional scouting approaches remain highly subjective and inconsistent. This study proposes a machine learning-based talent scouting model designed to predict future football player performance using historical match statistics and physical performance indicators. The methodology integrates regression models and ensemble learning techniques, including Linear, Ridge, and Lasso Regression, as well as Random Forest and Gradient Boosting, to capture both linear and nonlinear performance patterns. Comprehensive data preprocessing steps such as feature scaling, label encoding, and normalization are employed to ensure robustness and reliability. Experimental evaluation conducted on season-wise player data demonstrates that ensemble models significantly outperform traditional regression baselines, with Gradient Boosting achieving the lowest prediction error and highest explanatory power. The findings highlight the effectiveness of data-driven scouting systems in reducing human bias, improving recruitment accuracy, and supporting evidence-based decision-making in professional football talent management. © 2026 IEEE.","Ensemble Learning; Machine Learning; Player Performance Prediction; Regression Models; Sports Analytics; Talent Scouting","Adaptive boosting; Decision making; Employment; Football; Forecasting; Information management; Machine learning; Regression analysis; Ensemble learning; Gradient boosting; Machine-learning; Performance; Performance prediction; Player performance prediction; Professional sports teams; Regression modelling; Sport analytic; Talent scouting; Learning systems","Conference paper","Final","","Scopus","2-s2.0-105036577429"
"Feldman J.","Feldman, Jonathan (60203647500)","60203647500","Can We Really Predict Which Football Players Will Succeed?","2025","International Conference on Sport Sciences Research and Technology Support, icSPORTS - Proceedings","","","","38","49","0","10.5220/0013671000003988","https://www.scopus.com/pages/publications/105022492185?origin=resultslist","Predicting whether a football player will achieve their projected career potential is a key challenge for clubs and scouts. This study analyzes the career outcomes of 8,770 players from the European Soccer Database (2008-2016), using FIFA video game potential ratings as a proxy for projected potential. To account for the increasing difficulty of skill improvements at higher levels, we apply logarithmic scaling when calculating achievement ratios. Predictive models were trained on two cohorts: players with complete career data and those with early-career data (up to age 21). Early-career models achieved moderate predictive performance (ROC AUC = 0.79), reflecting the challenge of identifying long-term success based on limited early observations. SHAP analysis shows that growth trajectory features, including early improvement and development patterns, contribute more to success predictions than static physical or technical attributes. We define success as fulfilling projected potential according to the FIFA rating system - a standardized but subjective benchmark. While this does not capture all real-world outcomes, it enables large-scale analysis of developmental trajectories. These results suggest that tracking player development over time provides better guidance for talent decisions than relying solely on early physical assessments. Copyright © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","Career Prediction; Football Analytics; Player Development; Predictive Modeling; Sports Data Science; Talent Identification; Underachievement","Biographies; Employment; Football; Information use; Knowledge management; Life cycle; Prediction models; Professional aspects; Career prediction; Football analytic; Football players; Player development; Predictive models; Sport data science; Sports data; Talent identification; Underachievement; Video-games; Predictive analytics","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022492185"
"Andrew M.; Barraclough S.; Triggs A.O.; Dugdale J.H.; Kelly A.; Reeves M.J.","Andrew, Matthew (54796378200); Barraclough, Sam (58676197600); Triggs, Andrew O. (59741821100); Dugdale, James H. (57205296734); Kelly, Adam (57206773232); Reeves, Matthew J. (57201191905)","54796378200; 58676197600; 59741821100; 57205296734; 57206773232; 57201191905","How do college coaches in the United States identify youth female and male soccer players?","2025","PLOS ONE","20","9 September","e0331134","","","1","10.1371/journal.pone.0331134","https://www.scopus.com/pages/publications/105015894821?origin=resultslist","Talent identification (TI) in soccer is a complex and multifactorial process within the context of collegiate sport in the United States, where coaches must assess performance-ready athletes often under strict regulatory and resource constraints. Despite the critical role college coaches play in bridging youth to professional soccer, little is known about their evaluative priorities during recruitment. This study examined how soccer coaches from female and male NCAA Division I and II programs perceived the importance of various player attributes and scouting methods in the TI process. A total of 178 college soccer coaches completed a survey assessing perceptions across seven attribute categories (technical, physical, psychological, game intelligence, social, other, and coach-specific) and common scouting methods. Bootstrapped trimmed means, effect sizes, and inter-rater agreement (rwg) were used to analyse the coaches’ ratings of importance across attributes and to assess for differences in coach perceptions within the female and male programs. Results showed coaches across female and male programs rated technical proficiency, coachability, decision-making, and work rate as critically important. College-specific soccer knowledge was the most highly valued coach attribute, while live match observation was the most preferred scouting method. Sex-based differences were generally minimal, although emerged in perceptions of physical and social attributes, with coaches of female players placing greater emphasis on communication and agility. Results highlighted a shared prioritisation of technical and psychological qualities in college TI, with contextual differences influenced by sex and program structure. These insights support the development of more aligned and evidence-informed TI strategies in collegiate soccer environments. © 2025 Andrew et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Adolescent; Adult; Aptitude; Athletes; Athletic Performance; Female; Humans; Male; Mentoring; Soccer; Surveys and Questionnaires; United States; Universities; Young Adult; adolescent; adult; article; athlete; coach; college; decision making; effect size; female; game; human; intelligence; interpersonal communication; interrater reliability; juvenile; knowledge; male; normal human; open access publishing; soccer; soccer player; United States; young adult; aptitude; athlete; athletic performance; mentoring; psychology; questionnaire; United States; university","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105015894821"
"Klaiber M.; Rössle M.","Klaiber, Marco (57286817100); Rössle, Manfred (56365981300)","57286817100; 56365981300","Quantifying football player value: a novel combined rating and ML ensemble approach for predicting top players","2026","Journal of Big Data","13","1","29","","","1","10.1186/s40537-026-01369-w","https://www.scopus.com/pages/publications/105030922582?origin=resultslist","In football (soccer), players are considered one of the most important elements of a club’s sporting and financial success. Therefore, it is extremely important to evaluate the (sporting) value and future potential of a player. Usually, scouts and other decision-makers are responsible for this assessment, which is generally based on laborious observations and subjective experience. In recent years, advances in the data-driven evaluation of professional football players – including the use of Machine Learning (ML) – have led to a transformation that has the potential to make this process more objective and resource-efficient. Based on this, we present a novel and interpretable combined rating for evaluating the player strength of professional football players, considering the real performance of the players from a team and individual perspective. To provide further transparency, our combined rating is assessed with regard to the quality criteria of objectivity, reliability, and validity. Thus, our proposed rating achieved an RMSE of 0.486 on an out-of-sample retrodiciton test, outperforming other comparable metrics and demonstrating that it is a strong predictor of player performance. In addition, based on our proposed rating, we predict the future development potential of players, presenting a ML ensemble that estimates the likelihood of a player becoming a top player or not. Our approach achieved a balanced accuracy of 83.90%, representing the first of its kind and setting a benchmark. In addition, the top 30 talents for the 2024/25 season are presented to illustrate the effectiveness of our approach. Finally, based on our findings, optimization approaches are discussed on which future research can build on. © The Author(s) 2026.","Development potential; Football; Player evaluation; Rating; Talent identification","Artificial intelligence; Decision making; Football; Learning systems; Decision makers; Development potential; Ensemble approaches; Financial success; Football players; Machine-learning; Performance; Player evaluation; Soccer player; Talent identification; Rating","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030922582"
